,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
21657,401013097,2,Boston College,ACC,Holy Cross,,48,7,40101309726,3,1,38,43,4,2,32,Blocked Punt,"TEAM punt blocked by blocked by  Cristos Argys return for 32 yds for a TD HOLY CROSS Penalty, delay of game (-5 Yards) to the BC 8 (Derek Ng KICK)",Boston College,Holy Cross,False,False,48,7
21675,401013097,2,Boston College,ACC,Holy Cross,,55,14,40101309730,4,11,0,27,4,4,1,Blocked Punt,TEAM punt blocked by blocked by  Spencer Gilliam return for 1 yd for a TD (Derek Ng KICK),Boston College,Holy Cross,False,False,55,14
22113,401013100,2,Georgia Tech,ACC,South Florida,American Athletic,10,14,4010131005,1,4,38,65,2,14,97,Kickoff,"Shawn Davis kickoff for 62 yds , Terrence Horne return for 97 yds for a TD (Coby Weiss KICK)",South Florida,Georgia Tech,False,False,14,10
22423,401013102,2,Savannah State,,Miami,ACC,0,63,40101310229,4,6,42,75,4,5,10,Blocked Punt,TEAM punt blocked by Nesta Jade Silvera blocked by Nesta Jade Silvera  Scott Patchan return for 10 yds for a TD (Bubba Baxa KICK),Miami,Savannah State,False,False,63,0
22942,401013105,2,Pittsburgh,ACC,Penn State,Big Ten,6,30,40101310521,3,0,28,3,4,11,39,Punt,"Kirk Christodoulou punt for 36 yds , DeAndre Thompkins returns for 39 yds for a TD (Jake Pinegar KICK)",Pittsburgh,Penn State,False,False,6,30
23083,401013106,2,Wagner,,Syracuse,ACC,7,38,40101310615,2,4,23,81,3,17,2,Blocked Punt,Eric Silvester punt blocked by Sean Riley blocked by Sean Riley  Trill Williams return for 2 yds for a TD (Andre Szmyt KICK),Syracuse,Wagner,False,False,38,7
23434,401013108,2,Towson,,Wake Forest,ACC,14,31,40101310810,2,9,49,71,4,17,70,Punt,"Pat Toomey punt for 41 yds , Greg Dortch returns for 70 yds for a TD TOWSON Penalty, personal foul ( Yards) declined (Nick Sciba KICK)",Wake Forest,Towson,False,False,31,14
23457,401013108,2,Towson,,Wake Forest,ACC,14,38,40101310814,2,2,2,88,4,3,60,Punt,"Pat Toomey punt for 48 yds , Greg Dortch returns for 60 yds for a TD (Nick Sciba KICK)",Wake Forest,Towson,False,False,38,14
25713,401014981,2,Charlotte,Conference USA,Appalachian State,Sun Belt,9,31,40101498115,3,6,1,7,4,16,59,Punt,"Kyle Corbett punt for 52 yds , Thomas Hennigan returns for 59 yds for a TD (Chandler Staton KICK)",Charlotte,Appalachian State,False,False,9,31
25745,401014981,2,Charlotte,Conference USA,Appalachian State,Sun Belt,9,45,40101498123,4,9,28,1,1,10,0,Fumble Recovery (Opponent),"Calvin Camp run for a loss of 1 yard Calvin Camp fumbled, recovered by AppSt Austin Exford for a TD APPALACHIAN ST Penalty, false start (-5 Yards) to the Charl 8 (Chandler Staton KICK)",Charlotte,Appalachian State,False,False,9,45
26112,401014983,2,Florida Atlantic,Conference USA,Air Force,Mountain West,33,26,40101498323,4,0,50,24,4,10,5,Blocked Punt,Sebastian Riella punt blocked by Garrett Kauppila blocked by Garrett Kauppila  Lakota Wills return for 5 yds for a TD,Florida Atlantic,Air Force,False,False,33,26
26612,401014986,2,UT Martin,,Middle Tennessee,Conference USA,17,40,40101498625,3,6,6,76,4,11,35,Punt,"Zane Cox punt for 11 yds , Wayne Parks returns for 35 yds for a TD (Crews Holt KICK)",Middle Tennessee,UT Martin,False,False,40,17
27059,401014989,2,Southern Mississippi,Conference USA,Louisiana Monroe,Sun Belt,7,7,4010149893,1,12,5,10,3,9,0,Sack,"Jack Abraham sacked by Donald Louis Jr. for a loss of 6 yards Jack Abraham fumbled, recovered by LaMon Sam Miller , return for 0 yards for a TD (Craig Ford KICK)",Southern Mississippi,Louisiana Monroe,False,False,7,7
27839,401019477,2,TCU,Big 12,SMU,American Athletic,14,9,4010194779,2,8,13,30,3,3,0,Fumble Recovery (Own),"Sewo Olonilua run for 21 yds Sewo Olonilua fumbled, recovered by TCU Jaelan Austin for a TD, (Cole Bunce KICK)",SMU,TCU,False,False,9,14
28110,401019478,2,Buffalo,Mid-American,Temple,American Athletic,22,22,40101947820,4,11,24,85,4,12,0,Blocked Punt,Evan Finegan punt blocked by blocked by  Ty Mason return for no gain for a TD (Ventell Bryant pass  for Two-Point Conversion),Temple,Buffalo,False,False,22,22
29356,401021657,2,Texas Southern,,Texas State,Sun Belt,0,25,40102165715,3,8,2,26,3,10,82,Fumble Recovery (Opponent),"Jay Christophe pass complete to Brad Woodard for 8 yds for a TD Brad Woodard fumbled, forced by Bryan Londonii, recovered by TexSt A.J. Krawczyk  , return for 82 yds",Texas State,Texas Southern,False,False,25,0
29822,401012272,3,Arkansas,SEC,North Texas,Conference USA,0,14,4010122725,1,6,0,63,4,10,90,Punt,"Blake Johnson punt for 27 yds , Keegan Brewer returns for 90 yds for a TD (Cole Hedlund KICK)",Arkansas,North Texas,False,False,0,14
30270,401012274,3,Colorado State,Mountain West,Florida,SEC,0,27,40101227412,2,4,0,72,4,24,0,Blocked Punt,Ryan Stonehouse punt blocked by blocked by  Tyrie Cleveland return for no gain for a TD (Evan McPherson KICK),Florida,Colorado State,False,False,27,0
30329,401012274,3,Colorado State,Mountain West,Florida,SEC,10,34,40101227419,4,13,0,69,4,15,85,Punt,"Ryan Stonehouse punt for 54 yds , Freddie Swain returns for 85 yds for a TD (Evan McPherson KICK)",Florida,Colorado State,False,False,34,10
30658,401012276,3,Kentucky,SEC,Murray State,,34,3,40101227614,3,0,0,57,2,8,49,Pass Reception,Benny Snell Jr. pass complete to Terry Wilson for a loss of 6 yards lat. to Zy'Aire Hughes for 49 yds for a TD (Miles Butler KICK),Kentucky,Murray State,False,False,34,3
31490,401012282,3,Louisiana Monroe,Sun Belt,Texas A&M,SEC,3,24,4010122829,2,1,0,12,4,12,78,Blocked Field Goal,Craig Ford 28 yd FG BLOCKED blocked by Daylon Mack  Tyrel Dodson return for 78 yds for a TD (Seth Small KICK),Texas A&M,Louisiana Monroe,False,False,24,3
31804,401012737,3,Southern Utah,,Arizona,Pac-12,3,14,4010127376,2,14,0,65,1,0,84,Kickoff,"Manny Berz kickoff for 49 yds , J.J. Taylor return for 84 yds for a TD (Lucas Havrisik KICK)",Arizona,Southern Utah,False,False,14,3
32290,401012739,3,USC,Pac-12,Texas,Big 12,14,30,40101273916,3,6,0,32,4,12,46,Blocked Field Goal,Chase McGrath 50 yd FG BLOCKED blocked by Caden Sterns  Anthony Wheeler return for 46 yds for a TD (Cameron Dicker KICK),Texas,USC,False,False,30,14
33362,401012745,3,Eastern Washington,,Washington State,Pac-12,3,21,4010127459,2,11,0,65,1,0,100,Kickoff,"Andre Slyter kickoff for 65 yds , Travell Harris return for 100 yds for a TD (Blake Mazza KICK)",Washington State,Eastern Washington,False,False,21,3
